Nummer;Latitude;Longitude;Name;Kurztext;Start im Jahr;Ende im Jahr;Stadt;Postleitzahl;Straﬂe;Homepage
1986;48,271009;14,282784;Hotspot Linz - Volkshaus Keferfeld/Oed;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4020;Landwiedstraﬂe  65;http://www.hotspotlinz.at
1987;48,258039;14,360809;Hotspot Linz - Volkshaus Pichling;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4030;Lunaplatz 4;http://www.hotspotlinz.at
1988;48,297156;14,296327;Hotspot Linz - Kunstraum Goethestraﬂe;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2008;0;Linz;4020;Goethestraﬂe 30;http://www.hotspotlinz.at
1989;48,290861;14,285444;Hotspot Linz - Bergschlˆﬂl-Park;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2007;0;Linz;4020;Bergschlˆﬂlgasse 2;http://www.hotspotlinz.at
1990;48,296632;14,297719;Hotspot Linz - Jugendwohngemeinschaft SISAL;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2008;0;Linz;4020;Schubertstraﬂe 45;http://www.hotspotlinz.at
1991;48,306047;14,286977;Hotspot Linz - Altes Rathaus;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4020;Hauptplatz 1;http://www.hotspotlinz.at
1992;48,303459;14,286848;Hotspot Linz - Arkade Einkaufszentrum;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4020;Innenhof Arkade;http://www.hotspotlinz.at
1993;48,322152;14,277273;Hotspot Linz - ABC Bewegungscenter;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2008;0;Linz;4040;Hˆlderlinstraﬂe 26;http://www.hotspotlinz.at
1994;48,322152;14,277273;Hotspot Linz - ABC Bewegungscenter;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2008;0;Linz;4040;Hˆlderlinstraﬂe 26;http://www.hotspotlinz.at
1995;48,303771;14,291464;Hotspot Linz - Bibliothek der Katholisch Theologischen Privatuniversit‰t;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4020;Bethlehemstraﬂe 20;http://www.hotspotlinz.at
