FID,ID,GEOMETRIE,KATEGORIE,ORTSBEZUG,BEMERKUNG,HOMEPAGE
hundeeinrichtung.sackerl.45,sackerl.45,POINT (47.7633321054948 13.06495605911219),Hundesackerlspender,"Hellbrunn, Fürstenweg 33 in 46m",Hellbrunn Schlossmauer Wirtschaftstor,
hundeeinrichtung.sackerl.46,sackerl.46,POINT (47.763771829113175 13.064668398385939),Hundesackerlspender,"Morzg, Fürstenweg 33 in 52m",Hellbrunner Allee/Fürstenweg,
hundeeinrichtung.sackerl.48,sackerl.48,POINT (47.78466330718713 13.05808934732965),Hundesackerlspender,"Morzg, Hellbrunner Allee 9 in 18m",Hellbrunner Allee/Höhe Haus Nr. 8,
hundeeinrichtung.sackerl.65,sackerl.65,POINT (47.7895620058095 13.059766558941075),Hundesackerlspender,"Nonntal, Hellbrunner Straße 32A in 28m",Hellbrunner Straße/Ecke Seniorenheim/Universität,
hundeeinrichtung.sackerl.68,sackerl.68,POINT (47.77342377131502 13.07108633078081),Hundesackerlspender,"Salzburg - Süd, Ginzkeyplatz 5 in 21m",Ginzkeyplatz/gegenüber Trafik,
hundeeinrichtung.sackerl.69,sackerl.69,POINT (47.772795591401085 13.04596212589694),Hundesackerlspender,"Morzg, Offingerweg in 2m",Offingerweg/Fußballwiese,
hundeeinrichtung.sackerl.141,sackerl.141,POINT (47.78628756547329 13.074390121108829),Hundesackerlspender,"Aigen, Ignaz-Rieder-Kai 85 in 24m",Ignaz-Rieder-Kai/Geroldgasse,
hundeeinrichtung.sackerl.143,sackerl.143,POINT (47.8003488645112 13.08089157189856),Hundesackerlspender,"Parsch, Maria-Cebotari-Straße 59 in 52m",Apothekerhofstraße/Radweg Richtung Kreuzbergpromenade,
hundeeinrichtung.sackerl.145,sackerl.145,POINT (47.79566802762179 13.084399438308969),Hundesackerlspender,"Aigen, Gänsbrunnstraße 1 in 51m",Ernst-Grein-Straße/Weißenbachstraße,
hundeeinrichtung.sackerl.148,sackerl.148,POINT (47.78256464796198 13.084735925470396),Hundesackerlspender,"Aigen, Friedhofstraße in 3m",Friedhof Aigen/Ausgang Friedhofstraße ,
hundeeinrichtung.sackerl.150,sackerl.150,POINT (47.81431098375437 13.035867225501471),Hundesackerlspender,"Lehen, Makartkai in 2m",Lehener Park Makartkai/Pioniersteg,
