Einrichtung;Adresse;Internet_Adresse;Kategorie;X;Y;eindeutige_Adresse;Lat;Lon
Beach-Volleyball-Anlage Bindermichlpark;Bindermichlpark, 4020 Linz;;Freizeit- und Sportanlage;71492;348586;Bindermichlpark;48,27152267;14,29561792
Beach-Volleyball-Anlage Donaupark Urfahr;Am Damm, 4040 Linz;;Freizeit- und Sportanlage;71334;353769;Am Damm;48,318145;14,29436154
Beach-Volleyball-Anlage Hofmeindlweg;Hofmeindlweg, 4020 Linz;;Freizeit- und Sportanlage;70350;350123;Hofmeindlweg;48,28547051;14,28049081
Beach-Volleyball-Anlage Jugendsportpark Ennsfeld;Ennsfeld/Schiltenberg, 4020 Linz;;Freizeit- und Sportanlage;74992;345588;Ennsfeld/Schiltenberg;48,24416238;14,34223031
Beach-Volleyball-Anlage Panholzerweg;Panholzerweg, 4020 Linz;;Freizeit- und Sportanlage;74181;346320;Panholzerweg;48,25083939;14,3314405
Beach-Volleyball-Anlage Panuliwiese;Panuliwiese/Breitwiesergr¸nde, 4020 Linz;;Freizeit- und Sportanlage;72082;349861;Panuliwiese/Breitwiesergr¸nde;48,28292065;14,3037812
Beach-Volleyball-Anlage Parkbad;Untere Donaul‰nde 11, 4020 Linz;;Freizeit- und Sportanlage;71402;353037;Untere Donaul‰nde 11;48,31155538;14,29515491
Beach-Volleyball-Anlage Pichlinger See;Skatepark Pichling, 4020 Linz;;Freizeit- und Sportanlage;77874;344974;Skatepark Pichling;48,23829546;14,38091434
Beach-Volleyball-Anlage Pleschinger See;Pleschinger See, 4040 Linz;;Freizeit- und Sportanlage;74047;354258;Pleschinger See;48,32223139;14,33102183
Beach-Volleyball-Anlage Sportzentrum Franckviertel, Chemiepark;Ing.-Stern-Straﬂe 45-47, 4020 Linz;;Freizeit- und Sportanlage;73009;351119;Ing.-Stern-Straﬂe 45-47;48,29412653;14,31648631
Beach-Volleyball-Anlage Sportzentrum Liﬂfeld;Hausleitnerweg 105, 4020 Linz;;Freizeit- und Sportanlage;71642;348195;Hausleitnerweg 105;48,26798998;14,29757233
Beach-Volleyball-Anlage Waldbad Hummelhof;Maderspergerstraﬂe 2, 4020 Linz;;Freizeit- und Sportanlage;71108;349082;Maderspergerstraﬂe 2;48,27602567;14,29052882
Donaupark-Stadion ;Straﬂerau 3, 4020 Linz;;Freizeit- und Sportanlage;71693;353510;Straﬂerau 3;48,31577571;14,29915753
Freizeitanlage Pleschinger See;Seeweg 11, 4040 Linz;;Freizeit- und Sportanlage;73975;354196;Seeweg 11;48,32168229;14,33004027
Fun Court Jugendsportpark Ennsfeld;Ennsfeld/Schiltenberg, 4020 Linz;;Freizeit- und Sportanlage;74993;345604;Ennsfeld/Schiltenberg;48,24430613;14,34224659
Fun Courts Schiffmannstraﬂe;Schiffmannstraﬂe, 4020 Linz;;Freizeit- und Sportanlage;70361;348083;Schiffmannstraﬂe;48,26712585;14,28030093
Fun-Court Afritschweg;Ebelsberg, 4020 Linz;;Freizeit- und Sportanlage;74425;344920;Ebelsberg;48,2382224;14,33448057
Fun-Court ASK÷-Sportanlage Linz-Urfahr;Hˆlderlinstraﬂe 26, 4040 Linz;;Freizeit- und Sportanlage;70063;354201;Hˆlderlinstraﬂe 26;48,32217096;14,27729805
Fun-Court ASK÷-Sportanlage Steiger-Straﬂe;Karl-Steiger-Straﬂe 3, 4020 Linz;;Freizeit- und Sportanlage;72568;346363;Karl Steiger Straﬂe 3;48,25141198;14,30973098
Fun-Court Diesterwegschule;Krankenhausstraﬂe, 4020 Linz;;Freizeit- und Sportanlage;72081;351988;Krankenhausstraﬂe;48,30204632;14,30412919
Fun-Court Dr. Karl-Renner-Schule;Flˆtzerweg, 4020 Linz;;Freizeit- und Sportanlage;71580;346332;Flˆtzerweg;48,25124511;14,29642348
Fun-Court Hauptschule Ebelsberg;Ebelsberg, 4020 Linz;;Freizeit- und Sportanlage;74353;345874;Ebelsberg, Linz;48,24680899;14,33367822
