FID,ID,GEOMETRIE,BEZEICHNUNG,ADRESSE,STRASSE_ID,STRASSENNAME,HAUSNR,HAUSNRA,LEITERBEZEICHNUNG,LEITER,TELEFON,FAX,MAIL
volksschule.131,131,POINT (47.77135993158242 13.055000060753772),VS Morzg,Gneiser Straße 58,230,Gneiser Straße,58,,Direktorin,Sigrid Benesch,+43 662 820194,+43 662 820194 75,direktion@vs-morzg.salzburg.at
volksschule.126,126,POINT (47.78076199524317 13.024179711386527),VS Leopoldskron-Moos,Moosstraße 78,555,Moosstraße,78,,Direktorin,Franziska Wanner,+43 662 824941,+43 662 824941 77,direktion@vs-leopoldskron.salzburg.at
volksschule.133,133,POINT (47.796317210964894 13.053767682600634),VS Nonntal,Nonntaler Hauptstraße 3,556,Nonntaler Hauptstraße,3,,Direktorin,Mag. Ulrike Margreiter,+43 662 843603,+43 662 843603 77,direktion@vs-nonntal.salzburg.at
volksschule.123,123,POINT (47.78013116535597 13.073493076212316),VS Josefiau,Billrothstraße 4,96,Billrothstraße,4,,Direktorin,Waltraud Schneckenleithner,+43 662 624095,+43 662 624095 78,direktion@vs-josefiau.salzburg.at
volksschule.121,121,POINT (47.78570157873844 13.062633531105183),VS Herrnau,Friedensstraße 13,941,Friedensstraße,13,,Direktorin,Gabriele Kronfeld,+43 662 621714,+43 662 621714 18,direktion@vs-herrnau.salzburg.at
volksschule.119,119,POINT (47.78823843167404 13.088088423654764),VS Aigen,Reinholdgasse 18,632,Reinholdgasse,18,,Direktor,Friedrich Eberl,+43 662 623262,+43 662 623262 75,direktion@vs-aigen.salzburg.at
volksschule.134,134,POINT (47.799657501476545 13.066586424351033),VS Parsch,Geißmayerstraße 1,198,Geißmayerstraße,1,,Direktorin,Martina Fantl,+43 662 641280,+43 662 641280 77,direktion@vs-parsch.salzburg.at
volksschule.129,129,POINT (47.80369324332772 13.01599051496944),VS Maxglan I,Siezenheimer Straße 14A,695,Siezenheimer Straße,14,A,Direktorin,Alina Eder,+43 662 433051,+43 662 433051 77,direktion@vs-maxglan1.salzburg.at
volksschule.130,130,POINT (47.80325357462624 13.016478449375072),VS Maxglan II,Michaelbeuernstraße 8,539,Michaelbeuernstraße,8,,Direktorin,Elisabeth Seelmann-Kriegl,+43 662 433097,+43 662 433097 75,direktion@vs-maxglan2.salzburg.at
volksschule.118,118,POINT (47.79831308214102 13.082365243482707),VS Abfalter,Dr.-Petter-Straße 21,109,Dr.-Petter-Straße,21,,Direktorin,Astrid Moser,+43 662 642029,+43 662 642029 18,direktion@vs-abfalter.salzburg.at
volksschule.137,137,POINT (47.81013421153496 13.0044673335975),VS Taxham (Alfred Bäck Volksschule),Otto-von-Lilienthal-Straße 1,567,Otto-von-Lilienthal-Straße,1,,Direktorin,Sabine Roider,+43 662 433677,+43 662 433677 77,direktion@vs-taxham.salzburg.at
volksschule.132,132,POINT (47.80288759208912 13.031663133775126),VS Mülln,Augustinergasse 16,67,Augustinergasse,16,,Direktorin,Maria Gaßner,+43 662 844328,+43 662 844328 77,direktion@vs-muelln.salzburg.at
volksschule.136,136,POINT (47.80635368046481 13.044599010065308),VS Campus Mirabell,Faberstraße 8,159,Faberstraße,8,,Direktorin,Ursula Hinterseer,+43 662 875274,+43 662 875274 78,direktion@vs-andrae.salzburg.at
volksschule.135,135,POINT (47.81519729453299 13.04173331426866),VS Pestalozzistraße (Pestalozzi-Volksschule),Pestalozzistraße 4,512,Pestalozzistraße,4,,Direktorin,Mag. Lucia Riedl,+43 662 450230,+43 662 450230 77,direktion@vs-pestalozzi.salzburg.at
volksschule.124,124,POINT (47.81440633545733 13.029548936164113),VS Lehen I,Nelkenstraße 5,980,Nelkenstraße,5,,Direktorin,Barbara Eisenköck,+43 662 433448,+43 662 433448 77,direktion@vs-lehen1.salzburg.at
volksschule.125,125,POINT (47.81477317054715 13.02967024260872),VS Lehen II,Nelkenstraße 7,980,Nelkenstraße,7,,Direktorin,Silvia Wallinger,+43 662 432170,+43 662 432170 78,direktion@vs-lehen2.salzburg.at
volksschule.127,127,POINT (47.824257982521274 13.007693234514948),VS Liefering I,Törringstraße 4,792,Törringstraße,4,,Direktorin,Sabine Lacchini-Lang,+43 662 433179,+43 662 433179 76,direktion@vs-liefering1.salzburg.at
volksschule.128,128,POINT (47.82354187537904 13.023499481484803),VS Liefering II,Laufenstraße 50,451,Laufenstraße,50,,Direktorin,Monika Dachs,+43 662 433408,+43 662 433408 77,direktion@vs-liefering2.salzburg.at
volksschule.138,138,POINT (47.822505120330405 13.055921306739679),VS Schallmoos (Heinrich Salfenauer Volksschule),Meierhofweg 4,508,Meierhofweg,4,,Direktor,Klaus Erich Grabuschnig,+43 662 879646,+43 662 879646 75,direktion@vs-schallmoos.salzburg.at
volksschule.122,122,POINT (47.82481463104204 13.047642737136277),VS Itzling,Kirchenstraße 24,404,Kirchenstraße,24,,Direktorin,Andrea Hertscheg,+43 662 450076,+43 662 450076 77,direktion@vs-itzling.salzburg.at
volksschule.120,120,POINT (47.813973901121244 13.072267065371221),VS Gnigl,Schulstraße 7,739,Schulstraße,7,,Direktorin,Anita Naglmayr,+43 662 640689,+43 662 640689 76,direktion@vs-gnigl.salzburg.at
