FID,OBJECTID,SHAPE,KRANKENHAUS_BEZEICHNUNG,ABTEILUNG,BEZEICHNUNG,WEBLINK1,ADRESSE,BEZIRK,TELEFON,SE_ANNO_CAD_DATA
AMBULANZOGD.127,127,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin I<br />Klin. Abteilung für Infektionen und Tropenmedizin,Interdisziplinäre Osteomyelitis- und Wundinfektionsambulanz,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=2625,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-44650,
AMBULANZOGD.128,128,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin I<br />Klin. Abteilung für Infektionen und Tropenmedizin,Interdisziplinäre Spezialambulanz für Echinokokkose,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=3251,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-44650,
AMBULANZOGD.129,129,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin I<br />Klin. Abteilung für Infektionen und Tropenmedizin,Pilzambulanz,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=1715,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-44650,
AMBULANZOGD.130,130,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin I<br />Klin. Abteilung für Infektionen und Tropenmedizin,Pyelonephritisambulanz,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=1713,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-44650,
AMBULANZOGD.131,131,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin I<br />Klin. Abteilung für Onkologie,Adjuvante Therapien,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=1734,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-44660,
AMBULANZOGD.132,132,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin I<br />Klin. Abteilung für Onkologie,Bronchuskarzinom,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=1733,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-44660,
AMBULANZOGD.133,133,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin I<br />Klin. Abteilung für Onkologie,Endokrin aktive Tumore,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=1731,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-44660,
AMBULANZOGD.134,134,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin I<br />Klin. Abteilung für Onkologie,Extranodale Lymphome,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=1721,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-44660,
AMBULANZOGD.135,135,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin I<br />Klin. Abteilung für Onkologie,Genetische Beratung,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=1723,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-44660,
AMBULANZOGD.136,136,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin I<br />Klin. Abteilung für Onkologie,Haut-Nebenwirkungen,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=3346,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-44660,
