FID,ID,GEOMETRIE,NAME,ANGEBOT,GROESSE_M2,HOMEPAGE,NUMMER_INTERN
spielplatz.gisdb.21982,gisdb.21982,POINT (47.784868387731386 13.037666850539443),Spielplatz König-Ludwig-Straße,Spielgeräte,1400,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/spielplaetze_leopoldskron/koenig_ludwig_strasse_407018.htm,3035
spielplatz.gisdb.22030,gisdb.22030,POINT (47.80958827594368 13.02732694261256),Spielplatz Leonhard-von-Keutschach-Straße,Spielgeräte,2600,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/spielplaetze_lehen_sued/leonhard_von_keutschach_strasse_407011.htm,4251
spielplatz.gisdb.22031,gisdb.22031,POINT (47.823658173764215 13.071886748999077),Spielplatz Lerchenstraße,"Spielgeräte, Fussball, Streetball/Basketball, Tischtennis",7800,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/kinderspielplaetze_gnigl/lerchenstrasse_406998.htm,4252
spielplatz.gisdb.22032,gisdb.22032,POINT (47.81187824809021 13.049246839581576),Spielplatz Merianstraße,Spielgeräte,1700,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/spielplaetze_schallmoos/merianstrasse_407086.htm,4254
spielplatz.gisdb.22033,gisdb.22033,POINT (47.789328343552974 13.067196714112441),Spielplatz Michael-Pacher-Straße,Spielgeräte,400,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/spielplaetze_morzg/michael_pacher_strasse_407057.htm,4255
spielplatz.gisdb.22034,gisdb.22034,POINT (47.80488825745031 13.035886931199219),Kletterparcours Müllner Schanze,"Spielgeräte, Kletterparcours",1800,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/spielplaetze_innere_stadt/kletterparcours_muellner_schanze_395884.htm,4257
spielplatz.gisdb.22035,gisdb.22035,POINT (47.81281827374658 13.0097670336932),Spielplatz Norbert-Brüll-Straße,Spielgeräte,6800,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/spielplaetze_taxham/norbert_bruell_strasse_407076.htm,4258
spielplatz.gisdb.21997,gisdb.21997,POINT (47.78028838177366 13.074456663524536),Spielplatz Billrothstraße,Spielgeräte,900,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/spielplaetze_morzg/billrothstrasse_407049.htm,4205
spielplatz.gisdb.22046,gisdb.22046,POINT (47.815358247253734 13.028306947562452),Spielplatz Scherzhauserfeldstraße,Spielgeräte,600,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/spielplaetze_lehen_nord_glanspitz/scherzhauserfeldstrasse_406921.htm,4276
spielplatz.gisdb.22044,gisdb.22044,POINT (47.83784814597116 13.018347034081726),Spielplatz Salzachsee Nord,"Spielgeräte, Fussball, Streetball/Basketball, Beach Volleyball, Boule, Trinkwasser, WC",7500,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/kinderspielplaetze_in_liefering/salzachsee_nord_406949.htm,4273
